city,dates,gender,outcome.runs,outcome.winner,player_of_match,team,umpires,venue,matchid,outcome.wickets,outcome.method,neutral_venue,match_type_number,year,did_win,bat_first,total_wins,win_percentage
Dublin,2019-05-11,male,,West Indies,SW Ambris,West Indies,R Black,"The Village, Malahide",1168511,5.0,,,4132.0,2019,True,False,10,0.45454545454545453
Dublin,2019-05-13,male,,Bangladesh,Mustafizur Rahman,West Indies,AJ Neill,"The Village, Malahide",1168512,5.0,,,4134.0,2019,False,True,10,0.45454545454545453
Chennai,2019-12-15,male,,West Indies,SO Hetmyer,West Indies,S George,"MA Chidambaram Stadium, Chepauk",1187021,8.0,,,4221.0,2019,True,False,10,0.45454545454545453
Visakhapatnam,2019-12-18,male,107.0,India,RG Sharma,West Indies,AK Chaudhary,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1187022,,,,4222.0,2019,False,False,10,0.45454545454545453
Cuttack,2019-12-22,male,,India,V Kohli,West Indies,S George,Barabati Stadium,1187023,4.0,,,4223.0,2019,False,True,10,0.45454545454545453
Lucknow,2019-11-06,male,,West Indies,RL Chase,West Indies,PR Reiffel,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1193497,7.0,,,4213.0,2019,True,False,10,0.45454545454545453
Lucknow,2019-11-09,male,47.0,West Indies,N Pooran,West Indies,Izatullah Safi,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1193498,,,,4214.0,2019,True,True,10,0.45454545454545453
Lucknow,2019-11-11,male,,West Indies,SD Hope,West Indies,Ahmed Shah Durrani,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1193499,5.0,,,4215.0,2019,True,False,10,0.45454545454545453
Cardiff,2019-06-01,male,,New Zealand,MJ Henry,New Zealand,RJ Tucker,Sophia Gardens,1144485,10.0,,,4145.0,2019,True,False,13,0.6842105263157895
London,2019-06-05,male,,New Zealand,LRPL Taylor,New Zealand,PR Reiffel,Kennington Oval,1144491,2.0,,,4151.0,2019,True,False,13,0.6842105263157895
Taunton,2019-06-08,male,,New Zealand,JDS Neesham,New Zealand,Aleem Dar,The Cooper Associates County Ground,1144495,7.0,,,4154.0,2019,True,False,13,0.6842105263157895
Birmingham,2019-06-19,male,,New Zealand,KS Williamson,New Zealand,IJ Gould,Edgbaston,1144507,4.0,,,4165.0,2019,True,False,13,0.6842105263157895
Manchester,2019-06-22,male,5.0,New Zealand,KS Williamson,New Zealand,IJ Gould,Old Trafford,1144511,,,,4170.0,2019,True,True,13,0.6842105263157895
Birmingham,2019-06-26,male,,Pakistan,Babar Azam,New Zealand,BNJ Oxenford,Edgbaston,1144515,6.0,,,4174.0,2019,False,True,13,0.6842105263157895
London,2019-06-29,male,86.0,Australia,AT Carey,New Zealand,RK Illingworth,Lord's,1144519,,,,4178.0,2019,False,False,13,0.6842105263157895
Chester-le-Street,2019-07-03,male,119.0,England,JM Bairstow,New Zealand,S Ravi,Riverside Ground,1144523,,,,4183.0,2019,False,False,13,0.6842105263157895
Manchester,2019-07-10,male,18.0,New Zealand,MJ Henry,New Zealand,RK Illingworth,Old Trafford,1144528,,,,4190.0,2019,True,True,13,0.6842105263157895
Mount Maunganui,2019-01-26,male,90.0,India,RG Sharma,New Zealand,CM Brown,Bay Oval,1153692,,,,4085.0,2019,False,False,13,0.6842105263157895
Mount Maunganui,2019-01-28,male,,India,Mohammed Shami,New Zealand,S George,Bay Oval,1153693,7.0,,,4088.0,2019,False,True,13,0.6842105263157895
Hamilton,2019-01-31,male,,New Zealand,TA Boult,New Zealand,CM Brown,Seddon Park,1153694,8.0,,,4091.0,2019,True,False,13,0.6842105263157895
Wellington,2019-02-03,male,35.0,India,AT Rayudu,New Zealand,S George,Westpac Stadium,1153695,,,,4092.0,2019,False,False,13,0.6842105263157895
Mount Maunganui,2019-01-03,male,45.0,New Zealand,MJ Guptill,New Zealand,CM Brown,Bay Oval,1153840,,,,4074.0,2019,True,True,13,0.6842105263157895
Mount Maunganui,2019-01-05,male,21.0,New Zealand,NLTC Perera,New Zealand,SB Haig,Bay Oval,1153841,,,,4075.0,2019,True,True,13,0.6842105263157895
Nelson,2019-01-08,male,115.0,New Zealand,LRPL Taylor,New Zealand,P Wilson,Saxton Oval,1153842,,,,4076.0,2019,True,True,13,0.6842105263157895
Napier,2019-02-13,male,,New Zealand,MJ Guptill,New Zealand,CM Brown,McLean Park,1153844,8.0,,,4093.0,2019,True,False,13,0.6842105263157895
Christchurch,2019-02-16,male,,New Zealand,MJ Guptill,New Zealand,SB Haig,Hagley Oval,1153845,8.0,,,4094.0,2019,True,False,13,0.6842105263157895
Dunedin,2019-02-20,male,88.0,New Zealand,TG Southee,New Zealand,WR Knights,University Oval,1153846,,,,4095.0,2019,True,True,13,0.6842105263157895
Bristol,2019-06-01,male,,Australia,DA Warner,Afghanistan,Aleem Dar,County Ground,1144486,7.0,,,4146.0,2019,False,True,3,0.1875
Taunton,2019-06-08,male,,New Zealand,JDS Neesham,Afghanistan,MA Gough,The Cooper Associates County Ground,1144495,7.0,,,4154.0,2019,False,True,3,0.1875
Manchester,2019-06-18,male,150.0,England,EJG Morgan,Afghanistan,PR Reiffel,Old Trafford,1144506,,,,4163.0,2019,False,False,3,0.1875
Southampton,2019-06-22,male,11.0,India,JJ Bumrah,Afghanistan,Aleem Dar,The Rose Bowl,1144510,,,,4169.0,2019,False,False,3,0.1875
Southampton,2019-06-24,male,62.0,Bangladesh,Shakib Al Hasan,Afghanistan,RA Kettleborough,The Rose Bowl,1144513,,,,4172.0,2019,False,False,3,0.1875
Leeds,2019-06-29,male,,Pakistan,Imad Wasim,Afghanistan,P Wilson,Headingley,1144518,3.0,,,4177.0,2019,False,True,3,0.1875
Leeds,2019-07-04,male,23.0,West Indies,SD Hope,Afghanistan,CB Gaffaney,Headingley,1144524,,,,4184.0,2019,False,False,3,0.1875
Dehra Dun,2019-02-28,male,,Afghanistan,Gulbadin Naib,Afghanistan,Ahmed Shah Pakteen,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168115,5.0,,,4100.0,2019,True,False,3,0.1875
Dehra Dun,2019-03-05,male,,Ireland,A Balbirnie,Afghanistan,Izatullah Safi,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168117,4.0,,,4105.0,2019,False,True,3,0.1875
Dehra Dun,2019-03-08,male,109.0,Afghanistan,Rashid Khan,Afghanistan,Ahmed Shah Pakteen,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168118,,,,4108.0,2019,True,True,3,0.1875
Dehra Dun,2019-03-10,male,,Ireland,Asghar Stanikzai,Afghanistan,Bismillah Shinwari,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168119,5.0,,,4110.0,2019,False,True,3,0.1875
Belfast,2019-05-19,male,72.0,Ireland,,Afghanistan,S George,"Civil Service Cricket Club, Stormont",1168515,,,,4139.0,2019,False,False,3,0.1875
Belfast,2019-05-21,male,126.0,Afghanistan,,Afghanistan,S George,"Civil Service Cricket Club, Stormont",1168516,,,,4141.0,2019,True,True,3,0.1875
Lucknow,2019-11-06,male,,West Indies,RL Chase,Afghanistan,Bismillah Shinwari,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1193497,7.0,,,4213.0,2019,False,True,3,0.1875
Lucknow,2019-11-09,male,47.0,West Indies,N Pooran,Afghanistan,Ahmed Shah Pakteen,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1193498,,,,4214.0,2019,False,False,3,0.1875
Lucknow,2019-11-11,male,,West Indies,SD Hope,Afghanistan,Bismillah Shinwari,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1193499,5.0,,,4215.0,2019,False,True,3,0.1875
Bristol,2019-06-01,male,,Australia,DA Warner,Australia,RK Illingworth,County Ground,1144486,7.0,,,4146.0,2019,True,False,16,0.6956521739130435
Nottingham,2019-06-06,male,15.0,Australia,NM Coulter-Nile,Australia,CB Gaffaney,Trent Bridge,1144492,,,,4152.0,2019,True,True,16,0.6956521739130435
London,2019-06-09,male,36.0,India,S Dhawan,Australia,IJ Gould,Kennington Oval,1144496,,,,4155.0,2019,False,False,16,0.6956521739130435
Taunton,2019-06-12,male,41.0,Australia,DA Warner,Australia,NJ Llong,The Cooper Associates County Ground,1144499,,,,4157.0,2019,True,True,16,0.6956521739130435
London,2019-06-15,male,87.0,Australia,AJ Finch,Australia,Aleem Dar,Kennington Oval,1144502,,,,4159.0,2019,True,True,16,0.6956521739130435
Nottingham,2019-06-20,male,48.0,Australia,DA Warner,Australia,RA Kettleborough,Trent Bridge,1144508,,,,4166.0,2019,True,True,16,0.6956521739130435
London,2019-06-25,male,64.0,Australia,AJ Finch,Australia,S Ravi,Lord's,1144514,,,,4173.0,2019,True,True,16,0.6956521739130435
London,2019-06-29,male,86.0,Australia,AT Carey,Australia,JS Wilson,Lord's,1144519,,,,4178.0,2019,True,True,16,0.6956521739130435
Manchester,2019-07-06,male,10.0,South Africa,F du Plessis,Australia,Aleem Dar,Old Trafford,1144527,,,,4188.0,2019,False,False,16,0.6956521739130435
Birmingham,2019-07-11,male,,England,CR Woakes,Australia,HDPK Dharmasena,Edgbaston,1144529,8.0,,,4191.0,2019,False,True,16,0.6956521739130435
Sydney,2019-01-12,male,34.0,Australia,JA Richardson,Australia,P Wilson,Sydney Cricket Ground,1144997,,,,4077.0,2019,True,True,16,0.6956521739130435
Adelaide,2019-01-15,male,,India,V Kohli,Australia,RA Kettleborough,Adelaide Oval,1144998,6.0,,,4078.0,2019,False,True,16,0.6956521739130435
Melbourne,2019-01-18,male,,India,YS Chahal,Australia,P Wilson,Melbourne Cricket Ground,1144999,7.0,,,4079.0,2019,False,True,16,0.6956521739130435
Hyderabad,2019-03-02,male,,India,KM Jadhav,Australia,Nitin Menon,"Rajiv Gandhi International Stadium, Uppal",1168242,6.0,,,4102.0,2019,False,True,16,0.6956521739130435
Nagpur,2019-03-05,male,8.0,India,V Kohli,Australia,Nitin Menon,"Vidarbha Cricket Association Stadium, Jamtha",1168243,,,,4106.0,2019,False,False,16,0.6956521739130435
Ranchi,2019-03-08,male,32.0,Australia,UT Khawaja,Australia,JS Wilson,JSCA International Stadium Complex,1168244,,,,4109.0,2019,True,True,16,0.6956521739130435
Chandigarh,2019-03-10,male,,Australia,AJ Turner,Australia,AK Chaudhary,"Punjab Cricket Association IS Bindra Stadium, Mohali",1168245,4.0,,,4111.0,2019,True,False,16,0.6956521739130435
Delhi,2019-03-13,male,35.0,Australia,UT Khawaja,Australia,CK Nandan,Arun Jaitley Stadium,1168246,,,,4113.0,2019,True,True,16,0.6956521739130435
Sharjah,2019-03-22,male,,Australia,AJ Finch,Australia,MA Gough,Sharjah Cricket Stadium,1174238,8.0,,,4116.0,2019,True,False,16,0.6956521739130435
Sharjah,2019-03-24,male,,Australia,AJ Finch,Australia,Shozab Raza,Sharjah Cricket Stadium,1174239,8.0,,,4117.0,2019,True,False,16,0.6956521739130435
Abu Dhabi,2019-03-27,male,80.0,Australia,PJ Cummins,Australia,Asif Yaqoob,Sheikh Zayed Stadium,1174240,,,,4118.0,2019,True,True,16,0.6956521739130435
Dubai,2019-03-29,male,6.0,Australia,GJ Maxwell,Australia,HDPK Dharmasena,Dubai International Cricket Stadium,1174241,,,,4119.0,2019,True,True,16,0.6956521739130435
Dubai,2019-03-31,male,20.0,Australia,GJ Maxwell,Australia,MA Gough,Dubai International Cricket Stadium,1174242,,,,4120.0,2019,True,True,16,0.6956521739130435
London,2019-06-02,male,21.0,Bangladesh,Shakib Al Hasan,Bangladesh,JS Wilson,Kennington Oval,1144487,,,,4147.0,2019,True,True,6,0.35294117647058826
London,2019-06-05,male,,New Zealand,LRPL Taylor,Bangladesh,BNJ Oxenford,Kennington Oval,1144491,2.0,,,4151.0,2019,False,True,6,0.35294117647058826
Cardiff,2019-06-08,male,106.0,England,JJ Roy,Bangladesh,HDPK Dharmasena,Sophia Gardens,1144494,,,,4153.0,2019,False,False,6,0.35294117647058826
Taunton,2019-06-17,male,,Bangladesh,Shakib Al Hasan,Bangladesh,RJ Tucker,The Cooper Associates County Ground,1144505,7.0,,,4162.0,2019,True,False,6,0.35294117647058826
Nottingham,2019-06-20,male,48.0,Australia,DA Warner,Bangladesh,MA Gough,Trent Bridge,1144508,,,,4166.0,2019,False,False,6,0.35294117647058826
Southampton,2019-06-24,male,62.0,Bangladesh,Shakib Al Hasan,Bangladesh,MA Gough,The Rose Bowl,1144513,,,,4172.0,2019,True,True,6,0.35294117647058826
Birmingham,2019-07-02,male,28.0,India,RG Sharma,Bangladesh,M Erasmus,Edgbaston,1144522,,,,4182.0,2019,False,False,6,0.35294117647058826
London,2019-07-05,male,94.0,Pakistan,Shaheen Shah Afridi,Bangladesh,RA Kettleborough,Lord's,1144525,,,,4186.0,2019,False,False,6,0.35294117647058826
Napier,2019-02-13,male,,New Zealand,MJ Guptill,Bangladesh,S Ravi,McLean Park,1153844,8.0,,,4093.0,2019,False,True,6,0.35294117647058826
Christchurch,2019-02-16,male,,New Zealand,MJ Guptill,Bangladesh,M Erasmus,Hagley Oval,1153845,8.0,,,4094.0,2019,False,True,6,0.35294117647058826
Dunedin,2019-02-20,male,88.0,New Zealand,TG Southee,Bangladesh,S Ravi,University Oval,1153846,,,,4095.0,2019,False,False,6,0.35294117647058826
Dublin,2019-05-07,male,,Bangladesh,SD Hope,Bangladesh,Aleem Dar,Castle Avenue,1168509,8.0,,,4129.0,2019,True,False,6,0.35294117647058826
Dublin,2019-05-13,male,,Bangladesh,Mustafizur Rahman,Bangladesh,RA Kettleborough,"The Village, Malahide",1168512,5.0,,,4134.0,2019,True,False,6,0.35294117647058826
Dublin,2019-05-15,male,,Bangladesh,Abu Jayed,Bangladesh,R Black,Castle Avenue,1168513,6.0,,,4136.0,2019,True,False,6,0.35294117647058826
Colombo,2019-07-26,male,91.0,Sri Lanka,MDKJ Perera,Bangladesh,Nitin Menon,"R.Premadasa Stadium, Khettarama",1193504,,,,4193.0,2019,False,False,6,0.35294117647058826
Colombo,2019-07-28,male,,Sri Lanka,WIA Fernando,Bangladesh,M Erasmus,"R.Premadasa Stadium, Khettarama",1193505,7.0,,,4194.0,2019,False,True,6,0.35294117647058826
Colombo,2019-07-31,male,122.0,Sri Lanka,AD Mathews,Bangladesh,Nitin Menon,"R.Premadasa Stadium, Khettarama",1193506,,,,4195.0,2019,False,False,6,0.35294117647058826
Southampton,2019-06-05,male,,India,RG Sharma,India,RA Kettleborough,The Rose Bowl,1144490,6.0,,,4150.0,2019,True,False,15,0.6521739130434783
London,2019-06-09,male,36.0,India,S Dhawan,India,CB Gaffaney,Kennington Oval,1144496,,,,4155.0,2019,True,True,15,0.6521739130434783
Southampton,2019-06-22,male,11.0,India,JJ Bumrah,India,RK Illingworth,The Rose Bowl,1144510,,,,4169.0,2019,True,True,15,0.6521739130434783
Manchester,2019-06-27,male,125.0,India,V Kohli,India,RA Kettleborough,Old Trafford,1144516,,,,4175.0,2019,True,True,15,0.6521739130434783
Birmingham,2019-06-30,male,31.0,England,JM Bairstow,India,HDPK Dharmasena,Edgbaston,1144520,,,,4179.0,2019,False,False,15,0.6521739130434783
Birmingham,2019-07-02,male,28.0,India,RG Sharma,India,RSA Palliyaguruge,Edgbaston,1144522,,,,4182.0,2019,True,True,15,0.6521739130434783
Leeds,2019-07-06,male,,India,RG Sharma,India,P Wilson,Headingley,1144526,7.0,,,4187.0,2019,True,False,15,0.6521739130434783
Manchester,2019-07-09,male,18.0,New Zealand,MJ Henry,India,RA Kettleborough,Old Trafford,1144528,,,,4190.0,2019,False,False,15,0.6521739130434783
Sydney,2019-01-12,male,34.0,Australia,JA Richardson,India,MA Gough,Sydney Cricket Ground,1144997,,,,4077.0,2019,False,False,15,0.6521739130434783
Adelaide,2019-01-15,male,,India,V Kohli,India,SJ Nogajski,Adelaide Oval,1144998,6.0,,,4078.0,2019,True,False,15,0.6521739130434783
Melbourne,2019-01-18,male,,India,YS Chahal,India,MA Gough,Melbourne Cricket Ground,1144999,7.0,,,4079.0,2019,True,False,15,0.6521739130434783
Mount Maunganui,2019-01-26,male,90.0,India,RG Sharma,India,NJ Llong,Bay Oval,1153692,,,,4085.0,2019,True,True,15,0.6521739130434783
Mount Maunganui,2019-01-28,male,,India,Mohammed Shami,India,WR Knights,Bay Oval,1153693,7.0,,,4088.0,2019,True,False,15,0.6521739130434783
Hamilton,2019-01-31,male,,New Zealand,TA Boult,India,NJ Llong,Seddon Park,1153694,8.0,,,4091.0,2019,False,True,15,0.6521739130434783
Wellington,2019-02-03,male,35.0,India,AT Rayudu,India,WR Knights,Westpac Stadium,1153695,,,,4092.0,2019,True,True,15,0.6521739130434783
Hyderabad,2019-03-02,male,,India,KM Jadhav,India,JS Wilson,"Rajiv Gandhi International Stadium, Uppal",1168242,6.0,,,4102.0,2019,True,False,15,0.6521739130434783
Nagpur,2019-03-05,male,8.0,India,V Kohli,India,HDPK Dharmasena,"Vidarbha Cricket Association Stadium, Jamtha",1168243,,,,4106.0,2019,True,True,15,0.6521739130434783
Ranchi,2019-03-08,male,32.0,Australia,UT Khawaja,India,C Shamshuddin,JSCA International Stadium Complex,1168244,,,,4109.0,2019,False,False,15,0.6521739130434783
Chandigarh,2019-03-10,male,,Australia,AJ Turner,India,HDPK Dharmasena,"Punjab Cricket Association IS Bindra Stadium, Mohali",1168245,4.0,,,4111.0,2019,False,True,15,0.6521739130434783
Delhi,2019-03-13,male,35.0,Australia,UT Khawaja,India,JS Wilson,Arun Jaitley Stadium,1168246,,,,4113.0,2019,False,False,15,0.6521739130434783
Chennai,2019-12-15,male,,West Indies,SO Hetmyer,India,Nitin Menon,"MA Chidambaram Stadium, Chepauk",1187021,8.0,,,4221.0,2019,False,True,15,0.6521739130434783
Visakhapatnam,2019-12-18,male,107.0,India,RG Sharma,India,RJ Tucker,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1187022,,,,4222.0,2019,True,True,15,0.6521739130434783
Cuttack,2019-12-22,male,,India,V Kohli,India,Nitin Menon,Barabati Stadium,1187023,4.0,,,4223.0,2019,True,False,15,0.6521739130434783
Perth,2019-02-22,female,5.0,Australia,JL Jonassen,Australia,PJ Gillespie,W.A.C.A. Ground,1144982,,,,1143.0,2019,True,True,10,1.0
Adelaide,2019-02-24,female,95.0,Australia,EA Perry,Australia,PJ Gillespie,Karen Rolton Oval,1144983,,,,1145.0,2019,True,True,10,1.0
Melbourne,2019-03-03,female,,Australia,A Gardner,Australia,CA Polosak,Junction Oval,1144984,7.0,,,1148.0,2019,True,False,10,1.0
Leicester,2019-07-02,female,,Australia,EA Perry,Australia,MJ Saggers,Grace Road,1168022,2.0,,,1158.0,2019,True,False,10,1.0
Leicester,2019-07-04,female,,Australia,DM Kimmince,Australia,RT Robinson,Grace Road,1168023,4.0,,,1159.0,2019,True,False,10,1.0
Canterbury,2019-07-07,female,194.0,Australia,EA Perry,Australia,MJ Saggers,St Lawrence Ground,1168024,,,,1160.0,2019,True,True,10,1.0
Brisbane,2019-10-05,female,157.0,Australia,MM Lanning,Australia,PJ Gillespie,Allan Border Field,1183513,,,,1164.0,2019,True,True,10,1.0
Brisbane,2019-10-07,female,110.0,Australia,RL Haynes,Australia,PJ Gillespie,Allan Border Field,1183514,,,,1165.0,2019,True,True,10,1.0
Brisbane,2019-10-09,female,,Australia,AJ Healy,Australia,CA Polosak,Allan Border Field,1183515,9.0,,,1166.0,2019,True,False,10,1.0
North Sound,2019-09-11,female,,Australia,AJ Healy,Australia,Jonathan Blades,"Sir Vivian Richards Stadium, Antigua",1198474,8.0,,,1163.0,2019,True,False,10,1.0
Perth,2019-02-22,female,5.0,Australia,JL Jonassen,New Zealand,CA Polosak,W.A.C.A. Ground,1144982,,,,1143.0,2019,False,False,1,0.16666666666666666
Adelaide,2019-02-24,female,95.0,Australia,EA Perry,New Zealand,SAJ Craig,Karen Rolton Oval,1144983,,,,1145.0,2019,False,False,1,0.16666666666666666
Melbourne,2019-03-03,female,,Australia,A Gardner,New Zealand,SAJ Craig,Junction Oval,1144984,7.0,,,1148.0,2019,False,True,1,0.16666666666666666
Napier,2019-01-24,female,,India,S Mandhana,New Zealand,BF Bowden,McLean Park,1153855,9.0,,,1134.0,2019,False,True,1,0.16666666666666666
Mount Maunganui,2019-01-29,female,,India,S Mandhana,New Zealand,BF Bowden,Bay Oval,1153856,8.0,,,1135.0,2019,False,True,1,0.16666666666666666
Hamilton,2019-02-01,female,,New Zealand,AM Peterson,New Zealand,Kim Cotton,Seddon Park,1153857,8.0,,,1136.0,2019,True,False,1,0.16666666666666666
Dublin,2018-06-10,female,306.0,New Zealand,,Ireland,R Black,The Vineyard,1145892,,,,1117.0,2018,False,False,0,0.0
Napier,2019-01-24,female,,India,S Mandhana,India,AL Gillies,McLean Park,1153855,9.0,,,1134.0,2019,True,False,9,0.8181818181818182
Mount Maunganui,2019-01-29,female,,India,S Mandhana,India,Kim Cotton,Bay Oval,1153856,8.0,,,1135.0,2019,True,False,9,0.8181818181818182
Hamilton,2019-02-01,female,,New Zealand,AM Peterson,India,A Mehrotra,Seddon Park,1153857,8.0,,,1136.0,2019,False,True,9,0.8181818181818182
Mumbai,2019-02-22,female,66.0,India,E Bisht,India,KN Ananthapadmanabhan,Wankhede Stadium,1172160,,,,1144.0,2019,True,True,9,0.8181818181818182
Mumbai,2019-02-25,female,,India,J Goswami,India,KN Ananthapadmanabhan,Wankhede Stadium,1172161,7.0,,,1146.0,2019,True,False,9,0.8181818181818182
Mumbai,2019-02-28,female,,England,KH Brunt,India,KN Ananthapadmanabhan,Wankhede Stadium,1172162,2.0,,,1147.0,2019,False,True,9,0.8181818181818182
Vadodara,2019-10-09,female,,India,PS Punia,India,HAS Khalid,Reliance Stadium,1200180,8.0,,,1167.0,2019,True,False,9,0.8181818181818182
Vadodara,2019-10-11,female,,India,PG Raut,India,HAS Khalid,Reliance Stadium,1200181,5.0,,,1168.0,2019,True,False,9,0.8181818181818182
Vadodara,2019-10-14,female,6.0,India,E Bisht,India,HAS Khalid,Reliance Stadium,1200182,,,,1169.0,2019,True,True,9,0.8181818181818182
North Sound,2019-11-03,female,53.0,India,PG Raut,India,Zahid Bassarath,"Sir Vivian Richards Stadium, Antigua",1202250,,,,1172.0,2019,True,True,9,0.8181818181818182
North Sound,2019-11-06,female,,India,S Mandhana,India,Zahid Bassarath,"Sir Vivian Richards Stadium, Antigua",1202251,6.0,,,1174.0,2019,True,False,9,0.8181818181818182
Kuala Lumpur,2018-08-30,male,78.0,United Arab Emirates,Ahmed Raza,Nepal,Masudur Rahman,Kinrara Academy Oval,1154649,,,,4034.0,2018,False,False,0,0.0
Dublin,2019-05-03,male,,England,BT Foakes,Ireland,HDPK Dharmasena,"The Village, Malahide",1161014,4.0,,,4127.0,2019,False,True,6,0.46153846153846156
Dehra Dun,2019-02-28,male,,Afghanistan,Gulbadin Naib,Ireland,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168115,5.0,,,4100.0,2019,False,True,6,0.46153846153846156
Dehra Dun,2019-03-05,male,,Ireland,A Balbirnie,Ireland,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168117,4.0,,,4105.0,2019,True,False,6,0.46153846153846156
Dehra Dun,2019-03-08,male,109.0,Afghanistan,Rashid Khan,Ireland,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168118,,,,4108.0,2019,False,False,6,0.46153846153846156
Dehra Dun,2019-03-10,male,,Ireland,Asghar Stanikzai,Ireland,S Ravi,"Rajiv Gandhi International Cricket Stadium, Dehradun",1168119,5.0,,,4110.0,2019,True,False,6,0.46153846153846156
Dublin,2019-05-05,male,196.0,West Indies,JD Campbell,Ireland,Aleem Dar,Castle Avenue,1168508,,,,4128.0,2019,False,False,6,0.46153846153846156
Dublin,2019-05-11,male,,West Indies,SW Ambris,Ireland,RA Kettleborough,"The Village, Malahide",1168511,5.0,,,4132.0,2019,False,True,6,0.46153846153846156
Dublin,2019-05-15,male,,Bangladesh,Abu Jayed,Ireland,RA Kettleborough,Castle Avenue,1168513,6.0,,,4136.0,2019,False,True,6,0.46153846153846156
Belfast,2019-05-19,male,72.0,Ireland,,Ireland,AJ Neill,"Civil Service Cricket Club, Stormont",1168515,,,,4139.0,2019,True,True,6,0.46153846153846156
Belfast,2019-05-21,male,126.0,Afghanistan,,Ireland,M Hawthorne,"Civil Service Cricket Club, Stormont",1168516,,,,4141.0,2019,False,False,6,0.46153846153846156
Bready,2019-07-01,male,,Ireland,,Ireland,M Hawthorne,"Bready Cricket Club, Magheramason",1168517,4.0,,,4181.0,2019,True,False,6,0.46153846153846156
Belfast,2019-07-04,male,5.0,Ireland,,Ireland,R Black,"Civil Service Cricket Club, Stormont",1168518,,,,4185.0,2019,True,True,6,0.46153846153846156
Belfast,2019-07-07,male,,Ireland,,Ireland,R Black,"Civil Service Cricket Club, Stormont",1168519,6.0,,,4189.0,2019,True,False,6,0.46153846153846156
Leicester,2019-06-06,female,208.0,England,AE Jones,England,GD Lloyd,Grace Road,1168016,,,,1155.0,2019,True,True,6,0.5454545454545454
Leicester,2019-07-02,female,,Australia,EA Perry,England,RT Robinson,Grace Road,1168022,2.0,,,1158.0,2019,False,True,6,0.5454545454545454
Leicester,2019-07-04,female,,Australia,DM Kimmince,England,GD Lloyd,Grace Road,1168023,4.0,,,1159.0,2019,False,True,6,0.5454545454545454
Canterbury,2019-07-07,female,194.0,Australia,EA Perry,England,GD Lloyd,St Lawrence Ground,1168024,,,,1160.0,2019,False,False,6,0.5454545454545454
Mumbai,2019-02-22,female,66.0,India,E Bisht,England,P Jayapal,Wankhede Stadium,1172160,,,,1144.0,2019,False,False,6,0.5454545454545454
Mumbai,2019-02-25,female,,India,J Goswami,England,P Jayapal,Wankhede Stadium,1172161,7.0,,,1146.0,2019,False,True,6,0.5454545454545454
Mumbai,2019-02-28,female,,England,KH Brunt,England,P Jayapal,Wankhede Stadium,1172162,2.0,,,1147.0,2019,True,False,6,0.5454545454545454
Hambantota,2019-03-18,female,,England,,England,RMPJ Rambukwella,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1176433,6.0,,,1150.0,2019,True,False,6,0.5454545454545454
Katunayake,2019-03-21,female,,England,,England,RMPJ Rambukwella,FTZ Sports Complex (BOI),1176434,8.0,,,1151.0,2019,True,False,6,0.5454545454545454
Kuala Lumpur,2019-12-09,female,75.0,England,DN Wyatt,England,Asif Yaqoob,Kinrara Academy Oval,1208344,,,,1175.0,2019,True,True,6,0.5454545454545454
Kuala Lumpur,2019-12-12,female,127.0,England,HC Knight,England,Asif Yaqoob,Kinrara Academy Oval,1208345,,,,1176.0,2019,True,True,6,0.5454545454545454
Leicester,2019-06-06,female,208.0,England,AE Jones,West Indies,AG Wharf,Grace Road,1168016,,,,1155.0,2019,False,False,1,0.16666666666666666
Dubai,2019-02-07,female,146.0,West Indies,DJS Dottin,West Indies,Asif Yaqoob,Dubai International Cricket Stadium,1172210,,,,1137.0,2019,True,True,1,0.16666666666666666
Dubai,2019-02-09,female,34.0,Pakistan,Sidra Ameen,West Indies,Rashid Riaz,ICC Academy,1172211,,,,1138.0,2019,False,False,1,0.16666666666666666
North Sound,2019-09-11,female,,Australia,AJ Healy,West Indies,Christopher Taylor,"Sir Vivian Richards Stadium, Antigua",1198474,8.0,,,1163.0,2019,False,True,1,0.16666666666666666
North Sound,2019-11-03,female,53.0,India,PG Raut,West Indies,PA Gustard,"Sir Vivian Richards Stadium, Antigua",1202250,,,,1172.0,2019,False,False,1,0.16666666666666666
